TIMESTAMP_x,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep) 
 01/06  17:45:00,21.25,16.10517982,59.25
 01/06  18:00:00,21,15.99336791,60
 01/06  18:15:00,21.25,16.10517982,59.25
 01/06  18:30:00,21.5,16.21501348,58.5
 01/06  18:45:00,21.75,16.32285279,57.75
 01/06  19:00:00,22,16.42866157,57
 01/06  19:15:00,21.75,16.18029977,56.75
 01/06  19:30:00,21.5,15.93246115,56.5
 01/06  19:45:00,21.25,15.6851419,56.25
 01/06  20:00:00,21,15.43833572,56
 01/06  20:15:00,21,15.43833572,56
 01/06  20:30:00,21,15.43833572,56
 01/06  20:45:00,21,15.43833572,56
 01/06  21:00:00,21,15.43833572,56
 01/06  21:15:00,20.75,15.50355382,58
 01/06  21:30:00,20.5,15.56175614,60
 01/06  21:45:00,20.25,15.61312593,62
 01/06  22:00:00,20,15.65785937,64
 01/06  22:15:00,19.75,15.43759115,64
 01/06  22:30:00,19.5,15.21732963,64
 01/06  22:45:00,19.25,14.99708204,64
 01/06  23:00:00,19,14.77684264,64
 01/06  23:15:00,18.75,14.83847269,66.25
 01/06  23:30:00,18.5,14.89292647,68.5
 01/06  23:45:00,18.25,14.94040759,70.75
 01/06  24:00:00,18,14.98110656,73
 01/07  00:15:00,18,14.9813864,73
 01/07  00:30:00,18,14.98167153,73
 01/07  00:45:00,18,14.98194907,73
 01/07  01:00:00,18,14.9822321,73
 01/07  01:15:00,18,14.98251417,73
 01/07  01:30:00,18,14.98279492,73
 01/07  01:45:00,18,14.98307454,73
 01/07  02:00:00,18,14.9833532,73
 01/07  02:15:00,17.75,14.22301955,68.5
 01/07  02:30:00,17.5,13.46105219,64
 01/07  02:45:00,17.25,12.6977049,59.5
 01/07  03:00:00,17,11.93322962,55
 01/07  03:15:00,16.375,11.58627603,56.5
 01/07  03:30:00,15.75,11.23018504,58
 01/07  03:45:00,15.125,10.86517883,59.5
 01/07  04:00:00,14.5,10.49146201,61
 01/07  04:15:00,13.95,10.20217932,62.75
 01/07  04:30:00,13.4,9.904073225,64.5
 01/07  04:45:00,12.85,9.597366673,66.25
